ste,01,Alabama,2023,12,PRCP,     3.75,    12.08,    12.66,     0.09,     0.00,     0.00,     0.00,     0.00,     2.62,    23.79,     1.23,     0.00,     0.00,     0.00,     0.00,     0.00,     3.07,     0.11,     0.00,     0.00,     0.00,     0.00,     0.00,     0.05,    23.37,    10.90,     0.03,     0.00,     0.03,     0.15,     0.00
ste,02,Arizona,2023,12,PRCP,     2.21,     1.10,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.24,     0.00,     0.00,     0.00,     0.00,     0.00,     0.27,     0.67,     3.22,    14.44,     1.21,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
ste,03,Arkansas,2023,12,PRCP,    34.63,     0.28,     0.06,     0.00,     0.00,     0.00,     0.00,     0.00,     2.90,     0.62,     0.00,     0.00,     0.00,     0.00,     0.00,     5.14,     0.72,     0.00,     0.00,     0.00,     0.00,     0.76,     0.81,     3.08,    20.85,     0.07,     0.01,     0.00,     0.05,     0.03,     0.00
ste,04,California,2023,12,PRCP,     1.40,     2.20,     4.89,     0.59,     0.04,     0.10,     5.92,     1.69,     0.09,     0.01,     0.15,     0.00,     0.01,     0.00,     0.00,     0.00,     0.00,     6.21,    15.73,    13.05,     8.18,     3.66,     1.63,     0.00,     0.36,     0.24,     0.35,     4.60,     1.54,     8.77,     1.85
ste,05,Colorado,2023,12,PRCP,     1.27,     1.91,     1.90,     2.65,     0.15,     0.00,     0.00,     0.46,     2.98,     0.11,     0.69,     0.08,     0.08,     5.81,     0.56,     0.00,     0.00,     0.00,     0.00,     0.01,     0.22,     0.00,     0.89,     4.22,     0.44,     0.47,     0.63,     0.00,     0.00,     0.00,     0.00
ste,06,Connecticut,2023,12,PRCP,     0.00,     3.94,     2.25,    15.20,     0.04,     0.00,     0.01,     0.00,     0.00,     0.00,    68.37,     1.37,     0.00,     0.00,     0.00,     0.00,     0.00,    55.15,    32.61,     0.00,     0.00,     0.00,     0.00,     0.00,     0.33,     0.00,     0.11,    30.74,     8.12,     0.56,     0.05
ste,07,Delaware,2023,12,PRCP,     0.00,     7.95,     2.17,     8.34,     0.00,     0.00,     0.00,     0.02,     0.00,     0.00,    47.10,     3.97,     0.00,     0.00,     0.00,     0.00,     0.00,    66.42,    34.15,     0.00,     0.00,     0.00,     0.00,     0.15,     0.00,     0.01,     1.08,    27.18,     2.44,     0.00,     0.00
ste,08,Florida,2023,12,PRCP,     0.04,     7.24,    25.43,     1.46,     0.00,     0.00,     0.00,     0.00,     0.19,     5.32,    12.35,     0.00,     0.07,     0.77,     0.79,     2.63,    57.31,     3.39,     0.00,     0.00,     0.00,     0.02,     0.37,     0.18,     3.74,     7.56,     0.14,     2.51,     3.69,     0.01,     0.00
ste,09,Georgia,2023,12,PRCP,     0.41,     4.69,    18.01,     2.07,     0.00,     0.03,     0.00,     0.00,     1.55,    15.70,    16.32,     0.00,     0.04,     0.00,     0.00,     0.01,    24.03,     9.96,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     4.88,    17.89,     2.86,     0.01,     0.00,     0.01,     0.00
ste,10,Idaho,2023,12,PRCP,     1.29,     5.18,    10.15,     8.95,     2.26,     3.16,     3.60,     6.11,     1.53,     2.17,     6.14,     0.44,     0.01,     0.00,     0.01,     0.00,     0.00,     0.00,     0.71,     1.02,     0.05,     0.00,     2.16,     0.20,     0.00,     0.19,     1.12,     0.06,     0.00,     0.00,     0.02
ste,11,Illinois,2023,12,PRCP,    14.20,     3.02,     4.84,     1.39,     1.47,     0.03,     0.00,     0.00,     4.37,     0.10,     0.00,     0.00,     0.00,     0.00,     0.00,     2.61,     9.29,     0.00,     0.00,     0.00,     0.00,     0.59,     7.46,     0.11,     2.59,     9.70,     0.24,     2.96,     4.67,     0.52,     0.03
